2025-06-11 13:01:21 [main] INFO  a.pages.PaymentHistoryPage - ✅ Over-limit amount successfully typed: '2792388'
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - ✅ 'Insufficient balance' popup displayed.
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - ✅ Clicked 'Okay' button on popup.
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - [SUCCESS] ✅ Error Pop up Shown while Putting greater amount of account balance as Insufficient balance 
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 6: Leave Remarks Field Blank and Proceed
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - ✅ Remarks field cleared (left blank).
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Selecting NEFT option
2025-06-11 13:01:22 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 1)
2025-06-11 13:01:23 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-11 13:01:24 [main] WARN  a.pages.PaymentHistoryPage - ⚠️ NEFT not selected yet. Retrying...
2025-06-11 13:01:24 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 2)
2025-06-11 13:01:24 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-11 13:01:25 [main] INFO  a.pages.PaymentHistoryPage - ✅ NEFT option selected successfully.
2025-06-11 13:01:26 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] OTP entered.
2025-06-11 13:01:26 [main] INFO  a.pages.PaymentHistoryPage - Waiting for any overlay/spinner to disappear.
2025-06-11 13:01:26 [main] INFO  a.pages.PaymentHistoryPage - ✅ Final Proceed button clicked.
2025-06-11 13:01:28 [main] INFO  a.pages.PaymentHistoryPage - [SUCCESS] ✅ Transaction succeeded with blank remarks.
2025-06-11 13:01:29 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Close button clicked.
2025-06-11 13:01:29 [main] INFO  a.pages.PaymentHistoryPage - 
🔸 Test Case 7: Enter Invalid OTP
2025-06-11 13:01:33 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Entered amount: ₹3
2025-06-11 13:01:33 [main] INFO  a.pages.PaymentHistoryPage - 🟦 [STEP] Selecting NEFT option
2025-06-11 13:01:33 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 1)
2025-06-11 13:01:39 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-11 13:01:39 [main] WARN  a.pages.PaymentHistoryPage - ⚠️ NEFT not selected yet. Retrying...
2025-06-11 13:01:39 [main] INFO  a.pages.PaymentHistoryPage - Attempting to click NEFT option (Attempt 2)
2025-06-11 13:01:44 [main] INFO  a.pages.PaymentHistoryPage - 🔄 NEFT clicked via Actions.
2025-06-11 13:01:45 [main] INFO  a.pages.PaymentHistoryPage - ✅ NEFT option selected successfully.
2025-06-11 13:01:45 [main] INFO  a.pages.PaymentHistoryPage - ✅ [SUCCESS] Entered remarks: test value
